iter	Passed	Remaining
405	6814	9970
406	6829	9950
407	6843	9930
408	6859	9911
409	6875	9894
410	6891	9876
411	6906	9857
412	6922	9838
413	6937	9819
414	6953	9801
415	6968	9782
416	6984	9764
417	6999	9746
418	7015	9728
419	7030	9708
420	7045	9690
421	7061	9671
422	7076	9652
423	7091	9634
424	7107	9615
425	7123	9597
426	7138	9579
427	7153	9560
428	7168	9541
429	7184	9523
430	7199	9505
431	7215	9487
432	7231	9470
433	7247	9451
434	7266	9438
435	7283	9422
436	7310	9418
437	7333	9409
438	7349	9391
439	7364	9372
440	7379	9353
441	7394	9335
442	7408	9315
443	7423	9296
444	7439	9278
445	7454	9259
446	7469	9240
447	7485	9223
448	7502	9206
449	7517	9188
450	7533	9170
451	7549	9153
452	7565	9135
453	7580	9117
454	7596	9098
455	7611	9080
456	7626	9062
457	7642	9044
458	7657	9025
459	7672	9007
460	7688	8989
461	7704	8972
462	7720	8954
463	7735	8935
464	7750	8917
465	7766	8899
466	7781	8881
467	7797	8863
468	7816	8850
469	7836	8836
470	7853	8820
471	7870	8804
472	7887	8787
473	7902	8769
474	7918	8751
475	7933	8733
476	7949	8716
477	7964	8697
478	7980	8680
479	7995	8662
480	8011	8644
481	8027	8627
482	8043	8609
483	8059	8592
484	8074	8573
485	8090	8556
486	8106	8539
487	8122	8521
488	8138	8504
489	8154	8487
490	8169	8469
491	8185	8451
492	8200	8433
493	8216	8416
494	8231	8397
495	8246	8379
496	8262	8362
497	8278	8344
498	8294	8327
499	8309	8309
500	8325	8292
501	8345	8278
502	8364	8264
503	8380	8247
504	8394	8228
505	8409	8210
506	8424	8192
507	8440	8174
508	8458	8159
509	8474	8141
510	8489	8123
511	8504	8106
512	8521	8089
513	8536	8071
514	8551	8053
515	8566	8035
516	8582	8018
517	8597	7999
518	8611	7981
519	8626	7963
520	8642	7945
521	8657	7928
522	8673	7910
523	8688	7892
524	8703	7874
525	8718	7856
526	8733	7838
527	8748	7820
528	8763	7803
529	8779	7785
530	8794	7767
531	8809	7749
532	8825	7732
533	8841	7715
534	8857	7698
535	8875	7682
536	8901	7674
537	8925	7664
538	8948	7653
